trajectory_id,harness_family,pair,kind,from_data_source,to_data_source,from_init,to_init,stage_keyword,data_evidence_from,data_evidence_to,init_evidence_to,launch_reference
c2a5a7bb9cd0cc8e2f64,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,file provenance: /home/ben/task/train_data.jsonl <- load_dataset('openai/gsm8k,file provenance: /home/ben/task/train_data.jsonl <- vLLM,MODEL_NAME,c2a5a7bb9cd0cc8e2f64:169
c2a5a7bb9cd0cc8e2f64,Claude,2->3,data_change,self_generated,curated,unknown,unknown,,file provenance: /home/ben/task/train_data.jsonl <- vLLM,file provenance: /home/ben/task/train_data_v2.jsonl <- load_dataset('openai/gsm8k,MODEL_NAME,c2a5a7bb9cd0cc8e2f64:201
c8fd5fbb5f110a978afb,Codex,1->2,stage_candidate,self_generated,self_generated,base,checkpoint,,in training script: teacher_data,in training script: teacher_data,runs/exp1_paired_merged,c8fd5fbb5f110a978afb:403
c92715d6498b09655b26,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data.json <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/training_data_v2.json <- vLLM,MODEL_NAME,c92715d6498b09655b26:165
c92715d6498b09655b26,Claude,4->5,data_change,mixed,curated,unknown,unknown,,"file provenance: /home/ben/task/training_data_v3.json <- vLLM | curated: load_dataset(""HuggingFaceH4","load_dataset(""HuggingFaceH4",MODEL_NAME,c92715d6498b09655b26:259
c9df0c527fdf9044f2ef,Claude,1->2,data_change,self_generated,curated,unknown,unknown,,file provenance: training_data.jsonl <- synthetic examples,"file provenance: training_data_v2.jsonl <- load_dataset(""allenai",MODEL_NAME,c9df0c527fdf9044f2ef:147
ca6d75b69e1786b64e2e,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,"file provenance: training_data.jsonl <- load_dataset(""sahil2801",file provenance: training_data_v2.jsonl <- synthetic_examples,model_name,ca6d75b69e1786b64e2e:212
de3168aa0c59fecdd925,Claude,1->2,stage_candidate,curated,curated,base,checkpoint,,"file provenance: /home/ben/task/work/train.jsonl <- load_dataset(""open-r1","file provenance: /home/ben/task/work/train.jsonl <- load_dataset(""open-r1",/home/ben/task/work/sft_v3,de3168aa0c59fecdd925:489
e41526bc3c691f8d1367,Claude,1->2,data_change,self_generated,curated,unknown,unknown,,file provenance: training_data/train.jsonl <- vLLM,"file provenance: training_data/train_v2.jsonl <- load_dataset(""HuggingFaceH4",MODEL_NAME,e41526bc3c691f8d1367:335
eb5d9387b540ea3fd168,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,file provenance: /home/ben/task/training_data.jsonl <- load_dataset('HuggingFaceH4,file provenance: /home/ben/task/training_data.jsonl <- vLLM,MODEL_NAME,eb5d9387b540ea3fd168:272
f7b8aba93fdd18b1c734,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/train_data_v3.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/train_data_v3.jsonl <- vLLM,-name,f7b8aba93fdd18b1c734:386
f7b8aba93fdd18b1c734,Claude,7->8,data_change,mixed,curated,base,unknown,,"file provenance: /home/ben/task/train_data_v3.jsonl <- vLLM | curated: file provenance: /home/ben/task/train_data_large.jsonl <- load_dataset(""HuggingF","file provenance: /home/ben/task/train_data_large.jsonl <- load_dataset(""HuggingFaceH4",args.base_model,f7b8aba93fdd18b1c734:592
f7b8aba93fdd18b1c734,Claude,8->9,data_change,curated,mixed,unknown,base,,"file provenance: /home/ben/task/train_data_large.jsonl <- load_dataset(""HuggingFaceH4","file provenance: /home/ben/task/train_data_v3.jsonl <- vLLM | curated: file provenance: /home/ben/task/train_data_large.jsonl <- load_dataset(""HuggingF",Qwen/Qwen3-1.7B-Base,f7b8aba93fdd18b1c734:611
f7b8aba93fdd18b1c734,Claude,9->10,data_change,mixed,curated,base,unknown,stage2,"file provenance: /home/ben/task/train_data_v3.jsonl <- vLLM | curated: file provenance: /home/ben/task/train_data_large.jsonl <- load_dataset(""HuggingF","file provenance: /home/ben/task/oasst_all.jsonl <- load_dataset(""HuggingFaceH4",args.base_model,f7b8aba93fdd18b1c734:647
fb974a28197c71bb9c25,Claude,1->2,data_change,curated,self_generated,unknown,checkpoint,,"file provenance: /home/ben/task/training_data.json <- load_dataset(""iamtarun",file provenance: /home/ben/task/training_data_v2.json <- synthetic examples,FINAL_MODEL_DIR,fb974a28197c71bb9c25:373
fd70e0137d94d31acfdc,Codex,1->2,data_change,self_generated,curated,checkpoint,checkpoint,,file provenance: exp/mbpp_chat_train.jsonl <- vLLM,"file provenance: exp/mbpp_pc_train.jsonl <- load_dataset(""mbpp",args.output_dir,fd70e0137d94d31acfdc:156
fedca2655c2962fc78c4,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/train_data_v3.jsonl <- load_dataset(""iamtarun",file provenance: /home/ben/task/train_data_v4.jsonl <- synthetic examples,MODEL_NAME,fedca2655c2962fc78c4:359
ffe3fd7816be3df93fad,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/training_data.jsonl <- vLLM,MODEL_NAME,ffe3fd7816be3df93fad:174
